0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
LIFEEXP=MEDIUM,CALORIES=LOW,UNEMP=HIGH,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=MEDIUM,CALORIES=LOW,UNEMP=HIGH,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=MEDIUM,CALORIES=LOW,UNEMP=HIGH,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=MEDIUM,CALORIES=LOW,UNEMP=HIGH,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=MEDIUM,CALORIES=LOW,UNEMP=HIGH,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=HIGH,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=HIGH,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=MEDIUM,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=HIGH,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=HIGH,CIRCULATORYDISEAS=HIGH,SELFINJURY=MEDIUM,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=HIGH,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=HIGH,CIRCULATORYDISEAS=HIGH,SELFINJURY=MEDIUM,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=HIGH,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=MEDIUM,UNEMP=MEDIUM,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=HIGH,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=MEDIUM,ANNUALINCOME=HIGH,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=MEDIUM,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=HIGH,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=HIGH,CALORIES=LOW,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=LOW,PROTEIN=HIGH,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=LOW,SMOKING=LOW,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=LOW,SMOKING=LOW,OVERWT=MEDIUM,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=LOW,SMOKING=LOW,OVERWT=MEDIUM,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=LOW,SMOKING=LOW,OVERWT=MEDIUM,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=LOW,SMOKING=LOW,OVERWT=MEDIUM,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=MEDIUM,SMOKING=LOW,OVERWT=MEDIUM,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=MEDIUM,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=LOW,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=HIGH,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=HIGH,FAT=MEDIUM,PROTEIN=HIGH,FRUITVEG=HIGH,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=HIGH,FAT=LOW,PROTEIN=LOW,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=MEDIUM,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=HIGH,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=HIGH,ALCOHOL=HIGH,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=HIGH,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=MEDIUM,OVERWT=HIGH,ALCOHOL=HIGH,FAT=LOW,PROTEIN=LOW,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=MEDIUM,OVERWT=MEDIUM,ALCOHOL=HIGH,FAT=LOW,PROTEIN=LOW,FRUITVEG=MEDIUM,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=LOW,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=MEDIUM,OVERWT=MEDIUM,ALCOHOL=HIGH,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=MEDIUM,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=MEDIUM,OVERWT=MEDIUM,ALCOHOL=HIGH,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=MEDIUM,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=MEDIUM,OVERWT=MEDIUM,ALCOHOL=MEDIUM,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=HIGH,SELFINJURY=LOW,TOTALHOSPBED=LOW
LIFEEXP=MEDIUM,CALORIES=LOW,UNEMP=MEDIUM,SMOKING=HIGH,OVERWT=MEDIUM,ALCOHOL=MEDIUM,FAT=LOW,PROTEIN=LOW,FRUITVEG=LOW,ANNUALINCOME=LOW,YOUTH_UNEMP_RATE=LOW,HEARTDISEAS=MEDIUM,CIRCULATORYDISEAS=MEDIUM,SELFINJURY=LOW,TOTALHOSPBED=LOW
